,Shield,2h Axe,,2h Mace,,2h Spear,,2h Sword,,Katana,Staff*,Polearm,,,1h Axe,,1h Mace,,,1h Spear,1h Sword,,,Fist Weapons,,,,Dagger*,,Thrown,Bow,Sniper,,Heavy Gun,Rifle,Blunderbuss,Pistol,,Shield,Block,Slashing,Impact,Piercing,Sweeping,Heavy,Stance,Hand and a Half,Guarding,Finesse?,Swift,Unarmed,Brawler,Whirling / Wind Up,Weighted,Windblade,Shove,Pole,Disarm,Quickdraw,Offhand,Sneak Attack,Mainhand,Thrown,Light,Skirmishing,Quiver,Long Range,Heavy Munitions,Single Load,Deploy,Magazine,Close Range,Black Powder,Combat Alchemy,,,,Combat Engineering,,,,Divine Light,,Divine Fire,Divine Arcana,Divine Dark,,Divine Frost,Divine Nature,,Divine Light,,Elemental Light,Arcane Light,,Psychic Light,,Supernatural Light,,Primal Light,Elemental Fire,,Arcane Fire,Psychic Fire,,,Supernatural Fire,Primal Fire,,Divine Fire,Arcane,,,Psychic Arcana,,Supernatural Arcana,,,,Primal Arcana,,Divine Arcana,Elemental Arcana,Psychic Dark,,,Supernatural Dark,,,Primal Dark,,,Divine Dark,,Elemental Dark,Arcane Dark,,,Supernatural Frost,,,Primal Frost,,,Divine Frost,Elemental Frost,,Arcane Frost,Psychic Frost,,Primal Nature,,Divine Nature,,Elemental Nature,,,Arcane Nature,,Psychic Nature,,Supernatural,,,
,Shield,Greataxe,Battleaxe,Maul,Battlehammer,Lance/Pike,Spear,Greatsword,Longsword,Katana,Staff*/Quarterstaff*,Halberd,Glaive,Scythe,Axe,Pick/Kama,Mace*,Hammer,Morning Star,Javelin/Trident?,Shortsword*,Scimitar,Rapier,Unarmed/Kunckles /Claws/Katars,Heavy Gauntlets,Chain Weapon /Whip,Flail,Dagger*,Main Gauche/Sai,Thrown,Bow,Sniper,Crossbow,Heavy Gun,Rifle,Blunderbuss,Pistol,,,,,,,,,,Versatile?,,,,,,,,Katana,,,,Staff*/Quarterstaff*,Main Gauche/Sai,,Rapier,Thrown,,Short Bow,Long Bow,Sniper,Crossbow,,Heavy Gun,Rifle,Blunderbuss,Hand Cannon,Medicine,Explosives,Poisons,Acid,Automation,Fortification,Spelltech,Devices,Faith,Wrath,Purity,Astral,Pact,Valor,Ancestral,Life,Cycles,Faith,Wrath,Prismatic,Divination,Enchantment,Inspiration,Grace,Ki,Song,Radiance,Pyromancy,Planar,Fusion Evocation,Fury,Lust,Hate,Sin,Volcanic,Ash,Purity,Conjuration,Transmutation,Evocation,Arcane Studies,Cunning,Runic,Chance,Lunar,Spellweaving,Time,Gravity,Astral,Space,Fear,Resolve,Madness,Undeath,Blood,Fate,Decay,Death,Mutation,Pact,Valor,Shadow,Abjuration,Necromancy,Illusion,Veil,Soul,Flow,Storms,Seas,Ice,Ancestral,Hydromancy,Gyromancy,Fission Evocation,Brutality,Sorrow,Plants,Infestation,Life,Cycles,Stone,Geomancy,Sands?,Electricity,Lightning / Thunder?,Instinct / Survival?,Hunger?,Shapeshifting,Beast Mastery,Fae,Ranger?
,Prot Warrior,Arms Warrior/Darius,,Demolitionist,,FF Dragoon,,Guts,,,Wushu/Shaolin,,,,,,,,,,,,,Fighting Game,,Tera Reaper,,Sub Rogue,,,,Legolas,,Tera Gunner,Soldier 76,Graves,Lucian/Gunslinger,,Prot Warrior,,,,,Arms Warrior/Darius,Demolitionist,Guts,,,,,Fighting Game,,Tera Reaper,,,,,,Wushu/Shaolin,,,,,,,,Legolas,,,Tera Gunner,Soldier 76,Graves,,,Bomberman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DnD Sorc,,Syndra/Oriana/ASol,,,WoW Shad Priest,Red Mage,,Blood DK/BM Monk,,,,Aff Lock/Unholy DK,Blue Mage?,,,Wow Sub Rogue,DnD Sorc,D2 Necro,LoL Zed,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hate,,,,,,,,,Hate,,,,,Inspiration,,,,,,,,Enchantment,,,,,,Magic Schools,Magic Schools,Magic Schools,Magic Schools,Knowledge,Symbols,Fate,Night / Dark,,Fate,,,,,Judgement,Blood,Necromancy,Fluid,,,Necromancy,,,,,,,,Planar,Death,,,,,,Fluid,Thunder,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fury,,Astral,,,,,,,Fury,,,,,Prismatic,,,,,,,,Grace,,,,,,Planes,Alchemy,War,Knowledge,,Fate,Superstition,Astral,,Clockwork,,Astral,Dark,,Enchantment,,,Life,Time,,Bone,,,,,,,,Facets,Transition,,Cycle,,Cold,,Mists,Static,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faith,,,,,,,,,Faith,,,,,Lust,,,,,,,,,,,,,,Summoning,Mutation,Volatility,Symbols,Clockwork,Chance,Chaos,Superstition,,Rhythm,,,Astral,Dark,Fear,,Vampirism,Pain,Death,,Spirits,,,,,,,,Transition,,,Lightning,,,,,Cold,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resolve,,,,,,,,,Resolve,,,,,Enchantment,,,,,,,,,,,,,,Space?,Fluid,,,,,,Cycles,,Cycles,Astral,,Gravity,Madness,Hate,,,Vampirism,,,Fate,,,,,,,,Concealment?,,,Mists,,,,Cold,Flow,,,,,,,,,,,,,,,,,,
,Block,Sweep,Weighted,Heavy,Shove,Inertia,Haft / Reach?,Stances,Versatile,Ambush? Sneak Attack,Quickdraw,Guarding?,Finesse?,Trip,Gore,Hooked?,Impact,Light,Deadly,Piercing,Swift,Slashing,Mainhand,Unarmed,Unbalanced,Whirling / Wind Up,Disarm,Concealed,Offhand,Thrown,Drawn... Silent?,Aim,Heavy Munitions,Deploy,Magazine,Hip Fire,Gunslinger? ...Single Load?,Black Powder,"You use your Shield as not only a means to defend yourself, but for offense and for defending others as well.","When you Block with a Shield or Weapon, you open your Attackers to Opportunity Attacks and can launch powerful Counters",You are adept with Slashing Weapons (particularly effective against Unarmored Targets) and Dealing Damage with Bleed Effects,"Impact Weapons are more reliable and can Deal Damage even when missing, are even more destructive against Shields or Blocking Enemies.","Piercing Weapons reward high accuracy with increased chances to Crit, and are even more dangerous against Targets with Protection.","Sweeping Weapons can cleave from one enemy into the next, turning low armored targets into fuel for taking down groups of enemies all at once.","Heavy Weapons deal more consistant Damage, and you can sacrifice accuracy to further increase their destructive power.","Guarding becomes extra effective and Alters your Abilities, making it a tactical offensive or defensive decision.","Wielding multiple Weapons, or the same weapon differently comes easily to you and provides you with a variety of tactics to choose from.","You are adept at stnading your ground or protecting key targets, and can punish aggressors with Attacks of Opportunity.","When you wield Finesse Weapons they deal Bonus Damage when utilizing clever Movement or concealment, and their Crits are extra debilitating when applying Status Effects.",Attacks with Swift Weapons fuel Combos that make Finishers available much more often as long as you can keep scoring Hits.,"Your Unarmed Attacks become as dangerous as any weapon, and you Learn powerful Techniques based on which Martial Arts Style you adopt.","You take a less tactful approach to Unarmed Combat or Fist Weapons, becoming a destructive juggernaut of aggression that can take hits as well as they can dish them out.",With dangerous Whirling Weapons you can Channel before Attacking to make them extra powerful as long as you can maintain the Wind Up. ,"You are relentless with Weighted Weapons and Attacking Multiple Times with the same Weapon makes your Abilities more powerful, despite their lower accuracy.","Elven Windblades focus more on Finesse, Precision, and quick movements, deriving their power from grace rather than brute force",Shove Weapons give you more options to Displace Enemies at higher Levels.,Pole Weapons...,Disarm Weapons...,"You wait for the perfect moment to strike, manipulating where you take your turn in Combat and Granting yourself additional Reactions to fuel your Abilities and control the flow of combat.","When using specialized Offhand Weapons, you can bring more reliable Damage to your Dual Wielding Attacks or unpredictable power to otherwise weaker Offhand Attacks.","While Flanking your Attacks are more accurate and your Abilities are Altered, and you can Deal extra Damage when people least expect it.","1 hand is more than enough for you and while using Mainhand Weapons, they deal more Damage and can be used to provide additional defenses as well.",You can deftly Throw your Weapons so that they return to you and if caught Empower your next Thrown Attack in a dangerous juggle.,"You are quick and ... with Light Weapons, and can weave Dual Wielding Attacks in between Spell Casts or other Abilities.",Drawn... Silent?,,Aim,Heavy Munitions,,Deploy,Magazine,Hip Fire,Black Powder,Potions,Fuses?,,,Summon/Program,Summon/Fortify,Metamagic Weapons/Armor,Scrap/Traps,Deities/Blessings,Guilt,Atonement Healing,Changing Summons,,Shields,,,,Deities/Blessings,Guilt,Lens/Prism,,WP Manipulation,Overhealing/Lay on Hands,Art/Dance?,Ki,Song,Radiance,Burn Dots,Genshin Elements,Crit Mass,Fury,,,,Ashen,,Atonement Healing,"Arcane Weapon, Cast/Melee WP juggling",,,Spell Book,,Roll the Bones,,,,Pendulum,Orbs,Changing Summons,Distance,Nightmare Debuff,"Dark Will, imbalance/procs",,Life Steal,Spending HP / Self Damage,,Decay DoT,Dark Damage to Wounded Targets, ,,Shields,Dim Light/Darkness,,Corpses,,,,,,,,,,,,,,,,,,,,,Magnetics,Static Charge,,,,,,
gameplay loop,Anticipate who's in danger and Keep vigilance on them,Maximize Sweeping Strikes by using positioning and Cooldowns intelligently,,,,,,,,,,,,,Use fast weapons to maximize benefit of berzerker rage.,,"Spend lots of Fury, stay at Death's Door to maximize damage",,,,,,,Smart use of Combination stikes ,,,,,,,,,,,,,,,Anticipate who's in danger and Keep vigilance on them,Anticipate who's in danger and Keep vigilance on them,,"Spend lots of Fury, stay at Death's Door to maximize damage",,Maximize Sweeping Strikes by using positioning and Cooldowns intelligently,,,,,,,Smart use of Combination stikes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heals have 2 parts, you want to reactiate them when they're strong, cast them when they're weak",,,,,,,,,,,,,,,,,,,
Basic Spell,,,Rend,,Smash,,,,Heavy Slash,Heavy Slash,,Puncture,,,Rend,Puncture,Smash,Smash,Puncture,,Puncture,Rend,,,Smash,Rend,,Puncture,,,,,,,,,Point Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admonition,Holy Strike,Sacred Flame,Stardust,,,Ancient Strike,Bios,,Admonition,Holy Strike,Radiant Bolt,,,,Snub,,Clarion Toll,Lumos,Scorch,Pyros,Firebolt,,,Scorn,Burning Hands,Embers,Scald,Sacred Flame,Spellstrike,????,Arcane Bolt,,,Bound Spell Sigil,Confound,Noctos,Arcos,Time Jolt,Catapult,Stardust,,Cutting Words,Umbros,,Bone Splinters,,Scathe,,Mortos,,,,Shadowbolt,Abjure,Decompose,Illusory Fangs,Spectra,Chill Touch,,,,Cryos,Ancient Strike,Hydros,Gyros,Frostbolt,,,Nettles,,Bios,,Stonebolt,Geos,,Fulgos,Lightning Bolt,,,Venombolt,,Faethorn,
