Attributes,,"The 6 primary Stats that compose your character, Physical: Str, Dex, and Con, and Mental: Int, Wis, and Cha.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strength,Str,"Melee Damage/Shield Bonus, Melee Attack Rolls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexterity,Dex,"Ranged/Finesse Damage/Shield Bonus, Ranged/Finesse Attack Rolls, Dodge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intellect,Int,"Spell Attack Rolls, Spell Damage Bonus, Max WP",,,,,,,,Knowing when something is right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisdom,Wis,"Spell Healing Bonus, Resistance, Recovery",,,,,,,,Knowing when something is wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charisma/Cunning,Cha,"Beneficial Spell Effects Mod, Negative Spell Effects Mod, Spell DC, Summoned Creature Stats,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constitution,Con,"Maximum HP, Fortitude, Concentration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hit Points,2*Total Con + Con*Lvl,"Your Life, at Zero or below you become Incapacitated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery,Wis,The amount of Willpower Generated when Resting or using the Focus Action. The amount of HP Recovered when Resting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willpower,Total Int + Int*lvl,"The number of Abilities you can use. Typically Abilities cost only 1WP, unless they can Target an Area or Multiple Enemies, Grant Buffs, Heal, or Apply Control Effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,Cha,The Bonuses granted to your Summoned Creatures and Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
